FECHA;de combustible líquido;de combustible gaseoso;de combustibles sólidos;
1960;84;5;8;
1961;82;8;7;
1962;84;10;4;
1963;81;12;5;
1964;81;12;5;
1965;80;12;4;
1966;77;12;4;
1967;76;13;4;
1968;76;13;3;
1969;78;12;3;
1970;77;12;4;
1971;78;12;3;
1972;77;14;3;
1973;76;15;3;
1974;75;16;4;
1975;73;17;4;
1976;72;17;3;
1977;72;17;3;
1978;71;16;4;
1979;71;16;3;
1980;70;18;3;
1981;69;20;3;
1982;67;22;3;
1983;65;25;2;
1984;63;26;2;
1985;60;29;3;
1986;60;30;3;
1987;58;32;3;
1988;55;35;3;
1989;51;38;4;
1990;59;43;3;
1991;58;45;3;
1992;59;45;3;
1993;61;37;2;
1994;59;38;3;
1995;55;47;3;
1996;52;46;2;
1997;53;48;2;
1998;52;46;2;
1999;54;50;2;
2000;51;53;1;
2001;51;52;1;
2002;49;53;1;
2003;46;54;2;
2004;48;58;2;
2005;49;56;2;
2006;53;54;2;
2007;48;53;2;
2008;53;54;2;
2009;52;56;2;
2010;54;52;2;
2011;49;52;3;
2012;48;53;3;
2013;49;49;2;
2014;49;54;2;
2015;49;53;2;
2016;48;55;2;
2017;;;;
2018;;;;
2019;;;;
2020;;;;
