Año;pais;Exportación;Importación;
2005;Brasil;0;36;
2005;Paraguay;0;371;
2005;Uruguay;835;816;
2005;Chile;0;0;
2006;Brasil;76;28;
2006;Paraguay;0;525;
2006;Uruguay;2023;7;
2006;Chile;0;0;
2007;Brasil;5;1972;
2007;Paraguay;0;516;
2007;Uruguay;573;971;
2007;Chile;0;0;
2008;Brasil;784;1278;
2008;Paraguay;0;481;
2008;Uruguay;834;16;
2008;Chile;0;0;
2009;Brasil;329;1278;
2009;Paraguay;0;521;
2009;Uruguay;963;241;
2009;Chile;0;0;
2010;Brasil;17;1203;
2010;Paraguay;0;437;
2010;Uruguay;345;711;
2010;Chile;0;0;
2011;Brasil;0;2258;
2011;Paraguay;0;136;
2011;Uruguay;265;19;
2011;Chile;0;0;
2012;Brasil;1;79;
2012;Paraguay;0;151;
2012;Uruguay;279;193;
2012;Chile;0;0;
2013;Brasil;0;1;
2013;Paraguay;0;135;
2013;Uruguay;0;206;
2013;Chile;0;0;
2014;Brasil;1;3;
2014;Paraguay;0;116;
2014;Uruguay;0;1267;
2014;Chile;5;4;
2015;Brasil;55;229;
2015;Paraguay;0;113;
2015;Uruguay;0;1313;
2015;Chile;0;0;
2016;Brasil;321;494;
2016;Paraguay;0;120;
2016;Uruguay;0;749;
2016;Chile;7;107;
2017;Brasil;69;154;
2017;Paraguay;0;70;
2017;Uruguay;0;474;
2017;Chile;0;36;
2018;Brasil;267;0;
2018;Paraguay;0;26;
2018;Uruguay;13;317;
2018;Chile;0;0;
2019;Brasil;261;212;
2019;Paraguay;0;127;
2019;Uruguay;0;2407;
2019;Chile;0;0;
