Provincia;Población 2010;Población 2020
C.A.B.A.;2890151;3075646
Buenos Aires;15625084;17541141
Catamarca;367828;415438
Chaco;1055259;1204541
Chubut;509108;618994
Córdoba;3308876;3760450
Corrientes;992595;1120801
Entre Ríos;1235994;1385961
Formosa;530162;605193
Jujuy;673307;770881
La Pampa;318951;358428
La Rioja;333642;393531
Mendoza;1738929;1990338
Misiones;1101593;1261294
Neuquén;551266;664057
Río Negro;638645;747610
Salta;1214441;1424397
San Juan;681055;781217
San Luis;432310;508328
Santa Cruz;273964;365698
Santa Fe;3194537;3536418
Santiago del Estero;874006;978313
Tierra del Fuego, Antártida e Islas del Atlántico Sur;127205;173432
Tucumán;1448188;1694656
