Fecha;Dem.Hoy;Dem.Ayer;Dem.SemanaAnt.;Dem.Prevista;Tem.Hoy;Tem.Ayer;Tem.SemanaAnt.;Tem.Prevista;Región
5/02/22 0:15;1015;1018;1013;;22;24;24;;Cuyo
5/02/22 0:30;1006;1007;1003;;22;23;24;;Cuyo
5/02/22 0:45;993;978;994;;21;22;24;;Cuyo
5/02/22 1:00;978;965;980;964;22;21;24;;Cuyo
5/02/22 1:15;970;943;971;;22;21;24;;Cuyo
5/02/22 1:30;956;937;959;;22;21;23;;Cuyo
5/02/22 1:45;948;927;952;;22;21;23;;Cuyo
5/02/22 2:00;931;917;939;936;22;21;23;;Cuyo
5/02/22 2:15;927;914;931;;22;21;22;;Cuyo
5/02/22 2:30;925;903;925;;22;21;22;;Cuyo
5/02/22 2:45;914;891;912;;22;21;22;;Cuyo
5/02/22 3:00;904;876;902;910;21;21;22;;Cuyo
5/02/22 3:15;904;885;897;;21;21;21;;Cuyo
5/02/22 3:30;900;885;897;;21;20;21;;Cuyo
5/02/22 3:45;893;875;890;;20;21;21;;Cuyo
5/02/22 4:00;885;871;882;879;20;20;21;;Cuyo
5/02/22 4:15;884;877;875;;20;20;21;;Cuyo
5/02/22 4:30;876;868;872;;20;20;21;;Cuyo
5/02/22 4:45;876;868;873;;20;19;21;;Cuyo
5/02/22 5:00;870;866;982;869;19;20;21;;Cuyo
5/02/22 5:15;871;867;981;;19;20;21;;Cuyo
5/02/22 5:30;867;864;980;;19;20;20;;Cuyo
5/02/22 5:45;864;850;973;;19;19;20;;Cuyo
5/02/22 6:00;866;851;982;870;19;19;20;;Cuyo
5/02/22 6:15;870;860;984;;19;19;20;;Cuyo
5/02/22 6:30;874;867;980;;19;19;20;;Cuyo
5/02/22 6:45;989;868;969;;19;19;20;;Cuyo
5/02/22 7:00;977;867;923;857;19;19;20;;Cuyo
5/02/22 7:15;960;852;923;;18;19;20;;Cuyo
5/02/22 7:30;943;855;926;;18;19;20;;Cuyo
5/02/22 7:45;928;856;935;;18;19;21;;Cuyo
5/02/22 8:00;928;853;939;795;18;19;21;;Cuyo
5/02/22 8:15;923;870;958;;18;19;22;;Cuyo
5/02/22 8:30;932;889;1089;;18;19;22;;Cuyo
5/02/22 8:45;827;908;862;;18;20;23;;Cuyo
5/02/22 9:00;845;919;876;817;18;20;23;;Cuyo
5/02/22 9:15;858;936;899;;18;21;24;;Cuyo
5/02/22 9:30;871;962;911;;18;22;24;;Cuyo
5/02/22 9:45;876;971;920;;19;23;25;;Cuyo
5/02/22 10:00;882;984;933;852;19;23;25;;Cuyo
5/02/22 10:15;895;997;940;;19;23;26;;Cuyo
5/02/22 10:30;895;998;951;;19;24;26;;Cuyo
5/02/22 10:45;904;1006;961;;18;24;27;;Cuyo
5/02/22 11:00;901;1014;956;858;18;25;27;;Cuyo
5/02/22 11:15;900;1022;976;;18;25;28;;Cuyo
5/02/22 11:30;902;1033;988;;19;26;28;;Cuyo
5/02/22 11:45;902;1036;993;;19;26;29;;Cuyo
5/02/22 12:00;900;1047;1003;861;19;26;29;;Cuyo
5/02/22 12:15;902;1056;993;;19;27;30;;Cuyo
5/02/22 12:30;897;1052;1024;;19;27;30;;Cuyo
5/02/22 12:45;898;1065;1034;;19;27;30;;Cuyo
5/02/22 13:00;901;1081;1040;863;19;28;31;;Cuyo
5/02/22 13:15;887;1078;1048;;20;28;31;;Cuyo
5/02/22 13:30;1002;1087;1061;;19;29;31;;Cuyo
5/02/22 13:45;997;1091;1057;;20;29;32;;Cuyo
5/02/22 14:00;968;1087;1074;817;20;29;32;;Cuyo
5/02/22 14:15;962;1077;1083;;20;29;32;;Cuyo
5/02/22 14:30;956;1073;1091;;20;29;33;;Cuyo
5/02/22 14:45;;1081;1098;;;29;33;;Cuyo
5/02/22 15:00;;1082;1097;804;;30;33;;Cuyo
5/02/22 15:15;;1091;1102;;;30;33;;Cuyo
5/02/22 15:30;;1092;1107;;;30;33;;Cuyo
5/02/22 15:45;;1092;1106;;;30;33;;Cuyo
5/02/22 16:00;;1096;1107;810;;30;33;;Cuyo
5/02/22 16:15;;1105;1127;;;30;34;;Cuyo
5/02/22 16:30;;1099;1131;;;30;34;;Cuyo
5/02/22 16:45;;1099;1135;;;29;34;;Cuyo
5/02/22 17:00;;1103;1140;829;;29;34;;Cuyo
5/02/22 17:15;;1106;1146;;;29;34;;Cuyo
5/02/22 17:30;;1099;1141;;;29;34;;Cuyo
5/02/22 17:45;;1096;1147;;;30;34;;Cuyo
5/02/22 18:00;;1089;1140;833;;30;34;;Cuyo
5/02/22 18:15;;1082;1143;;;30;34;;Cuyo
5/02/22 18:30;;1076;1139;;;30;34;;Cuyo
5/02/22 18:45;;1066;1133;;;30;34;;Cuyo
5/02/22 19:00;;1061;1121;840;;30;34;;Cuyo
5/02/22 19:15;;1052;1115;;;30;34;;Cuyo
5/02/22 19:30;;1039;1101;;;30;34;;Cuyo
5/02/22 19:45;;1033;1087;;;30;33;;Cuyo
5/02/22 20:00;;1029;1076;834;;29;33;;Cuyo
5/02/22 20:15;;1021;1075;;;29;33;;Cuyo
5/02/22 20:30;;1024;1066;;;28;32;;Cuyo
5/02/22 20:45;;1062;1096;;;28;31;;Cuyo
5/02/22 21:00;;1099;1127;945;;27;31;;Cuyo
5/02/22 21:15;;1105;1142;;;27;30;;Cuyo
5/02/22 21:30;;1103;1139;;;26;30;;Cuyo
5/02/22 21:45;;1102;1132;;;25;29;;Cuyo
5/02/22 22:00;;1087;1122;933;;24;29;;Cuyo
5/02/22 22:15;;1075;1109;;;24;29;;Cuyo
5/02/22 22:30;;1060;1101;;;24;29;;Cuyo
5/02/22 22:45;;1047;1089;;;23;29;;Cuyo
5/02/22 23:00;;1039;1092;902;;23;29;;Cuyo
5/02/22 23:15;;1042;1090;;;23;28;;Cuyo
5/02/22 23:30;;1037;1083;;;23;28;;Cuyo
5/02/22 23:45;;1031;1077;;;22;28;;Cuyo
6/02/22 0:00;;1020;1068;882;;22;27;;Cuyo
5/02/22 0:15;2340;2370;2385;;14;14;12;;Buenos Aires
5/02/22 0:30;2353;2350;2325;;14;14;12;;Buenos Aires
5/02/22 0:45;2254;2405;2344;;13;14;12;;Buenos Aires
5/02/22 1:00;2215;2295;2248;1826;13;13;12;;Buenos Aires
5/02/22 1:15;2258;2363;2152;;13;13;11;;Buenos Aires
5/02/22 1:30;2240;2318;2167;;13;13;11;;Buenos Aires
5/02/22 1:45;2091;2190;2144;;13;13;11;;Buenos Aires
5/02/22 2:00;2172;2224;2139;1705;13;13;11;;Buenos Aires
5/02/22 2:15;2195;2126;2059;;13;13;11;;Buenos Aires
5/02/22 2:30;2085;2128;2114;;13;13;11;;Buenos Aires
5/02/22 2:45;2070;2203;2135;;13;13;11;;Buenos Aires
5/02/22 3:00;2090;2091;2101;1569;13;13;11;;Buenos Aires
5/02/22 3:15;2123;2110;2025;;13;13;11;;Buenos Aires
5/02/22 3:30;2049;2099;2100;;13;13;11;;Buenos Aires
5/02/22 3:45;1996;2153;2050;;12;12;11;;Buenos Aires
5/02/22 4:00;2114;2166;1943;1521;12;12;10;;Buenos Aires
5/02/22 4:15;2071;2084;1987;;12;12;10;;Buenos Aires
5/02/22 4:30;2014;2068;2047;;12;12;10;;Buenos Aires
5/02/22 4:45;2018;2122;2045;;12;12;10;;Buenos Aires
5/02/22 5:00;2077;2121;1942;1544;12;12;10;;Buenos Aires
5/02/22 5:15;2025;2098;2058;;12;12;10;;Buenos Aires
5/02/22 5:30;2040;2073;2086;;12;12;11;;Buenos Aires
5/02/22 5:45;2064;2115;2047;;12;12;11;;Buenos Aires
5/02/22 6:00;2053;2141;2000;1530;12;12;11;;Buenos Aires
5/02/22 6:15;2048;2054;1980;;12;12;11;;Buenos Aires
5/02/22 6:30;2034;2014;1835;;12;12;11;;Buenos Aires
5/02/22 6:45;1965;2145;1850;;12;12;11;;Buenos Aires
5/02/22 7:00;1915;2152;2021;1457;12;13;12;;Buenos Aires
5/02/22 7:15;1968;2107;2030;;12;13;12;;Buenos Aires
5/02/22 7:30;2009;2181;2031;;12;13;13;;Buenos Aires
5/02/22 7:45;2035;2150;2040;;12;13;14;;Buenos Aires
5/02/22 8:00;2033;2251;2068;1490;12;13;14;;Buenos Aires
5/02/22 8:15;2038;2264;2051;;13;14;15;;Buenos Aires
5/02/22 8:30;2107;2294;2117;;13;14;15;;Buenos Aires
5/02/22 8:45;2093;2321;2140;;13;14;15;;Buenos Aires
5/02/22 9:00;2042;2283;2191;1576;13;14;16;;Buenos Aires
5/02/22 9:15;2104;2329;2161;;13;15;16;;Buenos Aires
5/02/22 9:30;2197;2405;2140;;13;15;16;;Buenos Aires
5/02/22 9:45;2141;2421;2135;;13;16;16;;Buenos Aires
5/02/22 10:00;2123;2392;2087;1627;13;16;17;;Buenos Aires
5/02/22 10:15;2126;2332;2145;;13;17;17;;Buenos Aires
5/02/22 10:30;2205;2382;2173;;13;17;17;;Buenos Aires
5/02/22 10:45;2136;2510;2241;;13;17;17;;Buenos Aires
5/02/22 11:00;2173;2479;2234;1638;13;17;18;;Buenos Aires
5/02/22 11:15;2208;2482;2211;;12;17;18;;Buenos Aires
5/02/22 11:30;2177;2448;2318;;12;17;18;;Buenos Aires
5/02/22 11:45;2082;2520;2361;;12;18;18;;Buenos Aires
5/02/22 12:00;2136;2586;2420;1611;12;18;18;;Buenos Aires
