Provincia;Nro_de_centrales;Población_2020;Consumo_total_por_población_provincia_GW;TERMICA;EOLICA;HIDRAULICA;NUCLEAR;RENOVABLES,
Buenos Aires;50;17541141;47062881303;39;6;;2;3,
Catamarca;10;415438;1114620154;10;;;;0,
Chaco;9;1204541;3231783503;9;;;;0,
Chubut;58;618994;1660760902;49;8;1;;0,
Ciudad Autónoma de Buenos Aires;5;3075646;8251958218;5;;;;0,
Córdoba;17;3760450;10089287350;13;;2;;2,
Corrientes;28;1120801;3007109083;27;;1;;0,
Entre Ríos;4;1385961;3718533363;3;;1;;0,
Formosa;34;605193;1623732819;34;;;;0,
Jujuy;34;770881;2068273723;21;;;;13,
La Pampa;12;358428;961662324;11;;;;1,
La Rioja;6;393531;1055843673;5;;;;1,
Mendoza;22;1990338;5340076854;16;;6;;0,
Misiones;12;1261294;3384051802;9;;1;;2,
Neuquén;32;664057;1781664931;24;1;7;;0,
Río Negro;15;747610;2005837630;15;;;;0,
Salta;32;1424397;3821657151;30;;1;;1,
San Juan;9;781217;2096005211;2;;3;;4,
San Luis;0;508328;1363844024;;;;;0,
Santa Cruz;17;365698;981167734;16;1;;;0,
Santa Fe;9;3536418;9488209494;9;;;;0,
Santiago del Estero;12;978313;2624813779;12;;;;0,
Tierra del Fuego, Antártida e Islas del Atlántico Sur;6;173432;465318056;6;;;;0
Tucumán;9;1694656;4546762048;7;;;;2,
total;442;45376763;1,22E+11;372;16;23;2;29
