iso_nombre,latitud,longitud
Buenos Aires,-36.67694152,-60.55883198
Córdoba,-32.14293266,-63.80175327
Capital Federal,-34.61449341,-58.44585635
Catamarca,-27.33583328,-66.94768243
Chaco,-26.38643091,-60.76583074
Chubut,-43.78862335,-68.52675939
Corrientes,-28.7743047,-57.8012192
Entre Ríos,-32.05887354,-59.20144755
Formosa,-24.89497259,-59.93244058
Jujuy,-23.32007842,-65.76425222
La Pampa,-37.13155377,-65.44665466
La Rioja,-29.6857763,-67.18173597
Mendoza,-34.62988731,-68.58312282
Misiones,-26.87539651,-54.65169662
Neuquén,-38.64175758,-70.11857052
Río Negro,-40.40579572,-67.22932989
Salta,-24.29913445,-64.81446296
San Juan,-30.865368,-68.88949085
San Luis,-33.75772574,-66.02812982
Santa Cruz,-48.81548518,-69.95576217
Santa Fe,-30.70692716,-60.94983694
Santiago del Estero,-27.78241166,-63.25238666
Tierra del Fuego,-54.8054,-68.324206
Tucumán,-26.94780018,-65.36475794
